user_id, business_id, stars
NZPoW7bv_62nAJ-yXpVl1g,L3R7y3_tUKQlM9kor4-Ccw,2
VSRtEK_c84oJygZ0OX0Oqg,f9sU31meK0bqAD7922sCog,5
RD-f1At-TwojTfXFuyN5ag,flCF_Vp9NOpTVeGv673nSg,2
b7rchNJEp6Gaw0bHR-4s4g,8eSmXnZG0N1GRsqiFeU9uA,4
11gxVnIOvxL5PI4Ur9qa2g,UMqfeCItzQ2glr4d9apGlA,2
wbvjiDpw0FoZDeqbzAIcDQ,qWSwDbtJRBvKTiMpH3rNLQ,4
XE36pmSiByd4YtSiPkn9_A,ER0rUoLqAJQ2Mlv2_GnwyQ,4
#NAME?,ii8sAGBexBOJoYRFafF9XQ,4
E5Fbnoe5f5a74A5auXjiBg,f9sU31meK0bqAD7922sCog,4
8Sx-NgLzyCBBWT-IKBt9Fw,kRhjWeAPs-U5RmakIKz0Pg,3
atXRV9crRDO2VzP6XOquJg,OK_djnmJWmK4G3NMAjGGjg,3
fLnkI1uHtXEsjtF6KoBHbQ,xoGPeHR2RPnJW470-aYBUQ,4
1dwa6Wkp0chKBcrRuO05lA,ByFMv3p5X1aNeZhU61rDcA,4
bCLqNCdhUdsmTj9Braespg,ttuEwktrkmh3TUlSFPZqAA,4
2pVj1Hid6_Iq3Th9xI0aOQ,wT1mRdUeZRNgMB81s3dJDw,4
DIdq2t1_ra6g5JcexYHuOQ,YavRvjbLsvh4DYDJPAfJIA,1
XdLQep9R3V7EHwW2fjgK-g,CZhc8YXdFLhAI4ViC2ERTg,4
aUlnMALjy4sXJP1KxjuX1g,4XH5nRjUVKyRNituBAwW6A,3
4V6vZgVCfEfYwXFK3tnTQQ,RrCgc8eAKbHu-2IpQXg6Rw,5
CwzhFRwIkYFGkaggG0sTlA,xaJS4YP0lISl2V5z2qA3GQ,4
